URL,HUB_SCORE,TAG,
psych.ucsf.edu/vcf,0.9999999672,1,
synapse.mskcc.org/synapse/people/1445,3.27E-08,1,
www.bizjournals.com/boston/news/2017/05/25/former-dana-farber-researcher-laurie-glimcher.html,3.39E-11,1,
www.ucsf.edu/pulse,7.84E-12,0,
psych.ucsf.edu/faculty,4.78E-12,1,
meded.ucsf.edu/cfe/faculty-development,6.38E-13,1,
doctors.dana-farber.org/search.asp?gs=c,9.89E-15,1,
www.mskcc.org/departments/radiology/faculty,1.80E-15,1,
mayoclinic.pure.elsevier.com/en/persons/steven-robert-alberts,1.03E-15,0,
doctors.dana-farber.org/search.asp?last_name=M,8.99E-17,1,
www.dana-farber.org/About-Us/Awards-and-Honors.aspx,8.25E-17,1,
www.dana-farber.org/Research/Departments-and-Centers/Department-of-Radiation-Oncology.aspx,7.97E-17,1,
www.dana-farber.org/Research/Departments-and-Centers/Department-of-Cancer-Biology.aspx,7.97E-17,1,
researchers.dana-farber.org/search.asp?gs=r,5.28E-18,1,
doctors.dana-farber.org/search.asp?last_name=H,8.20E-19,1,
www.dana-farber.org/Adult-Care/Treatment-and-Support/Treatment-Centers-and-Clinical-Services/Stem-Cell-Transplantation-Program.aspx,7.71E-19,1,
www.dana-farber.org/Adult-Care/Treatment-and-Support/Treatment-Centers-and-Clinical-Services/Thoracic-Cancer-Treatment-Center.aspx,7.21E-19,1,
www.dana-farber.org/Adult-Care/Treatment-and-Support/Treatment-Centers-and-Clinical-Services/Gastrointestinal-Cancer-Treatment-Center/Neuroendocrine-and-Carcinoid-Tumors-Program.aspx,7.08E-19,1,
doctors.dana-farber.org/directory/profile.asp?gs=r+&pict_id=0000290,6.65E-19,1,
www.dana-farber.org/Adult-Care/Treatment-and-Support/Breast-Cancer/How-We-Diagnose-Breast-Cancer.aspx,6.65E-19,0,
doctors.dana-farber.org/search.asp?last_name=W,6.57E-20,1,
www.dana-farber.org/Research/Departments-and-Centers/Blood-Cancer-Prevention-of-Progression-Clinic.aspx,5.06E-20,1,
www.dana-farber.org/Adult-Care/Treatment-and-Support/Treatment-Centers-and-Clinical-Services/Department-of-Radiation-Oncology.aspx,5.06E-20,1,
www.dana-farber.org/About-Us/Satellite-Locations/Dana-FarberBrigham-and-Women-s-Cancer-Center-in-clinical-affiliation-with-South-Shore-Hospital.aspx,5.06E-20,1,
www.dana-farber.org/Adult-Care/Treatment-and-Support/Treatment-Centers-and-Clinical-Services/Cutaneous-Cancer-Treatment-Center.aspx,5.06E-20,1,
www.dana-farber.org/Adult-Care/Treatment-and-Support/Treatment-Centers-and-Clinical-Services/Gastrointestinal-Cancer-Treatment-Center.aspx,4.30E-20,1,
www.dana-farber.org/About-Us/Our-Leadership-Team.aspx,4.30E-20,1,
www.dana-farber.org/Adult-Care/Treatment-and-Support/Treatment-Centers-and-Clinical-Services/Hematologic-Oncology-Treatment-Center/American-Society-of-Hematology-(ASH)-Annual-Meeting.aspx,4.30E-20,1,
www.dana-farber.org/Research/Departments-and-Centers/Department-of-Psychosocial-Oncology-and-Palliative-Care.aspx,4.26E-20,1,
www.dana-farber.org/Adult-Care/Treatment-and-Support/Treatment-Centers-and-Clinical-Services/Psychosocial-Oncology.aspx,4.26E-20,1,
doctors.dana-farber.org/search.asp?last_name=D,1.48E-20,1,
doctors.dana-farber.org/search.asp?last_name=G,7.73E-21,1,
doctors.dana-farber.org/search.asp?last_name=B,7.59E-21,1,
doctors.dana-farber.org/search.asp?last_name=K,7.51E-21,1,
www.dana-farber.org/Research/Departments-and-Centers/Department-of-Biostatistics-and-Computational-Biology.aspx,6.73E-21,1,
www.dana-farber.org/Research/Featured-Research/Developing-a-common-influenza-vaccine.aspx,6.73E-21,1,
doctors.dana-farber.org/search.asp?last_name=O,5.56E-22,1,
www.dana-farber.org/Adult-Care/Treatment-and-Support/Myelodysplastic-Syndrome.aspx,3.46E-22,1,
www.dana-farber.org/Adult-Care/Treatment-and-Support/Pancreatic-Cancer/How-We-Diagnose-Pancreatic-Cancer.aspx,3.46E-22,1,
www.dana-farber.org/Pediatric-Care/Treatment-and-Support/Neuroblastoma.aspx,3.46E-22,1,
doctors.dana-farber.org/search.asp?last_name=S,1.43E-22,1,
doctors.dana-farber.org/search.asp?last_name=C,1.35E-22,1,
doctors.dana-farber.org/search.asp?last_name=L,6.84E-23,1,
doctors.dana-farber.org/search.asp?last_name=F,6.25E-23,1,
psych.ucsf.edu/research/faculty,7.71E-30,1,
nurses.dana-farber.org/search.asp?gs=r,3.09E-30,1,
neuro.hms.harvard.edu/people/administrative-staff,4.80E-31,1,
www.mayo.edu/research/faculty,1.85E-31,1,
www.mskcc.org/departments/anesthesiology-critical-care-medicine/faculty,9.85E-33,1,
www.profellow.com/fellowships/the-summer-undergraduate-research-fellowship-3-questions-with-alumna-courtney-malo,3.60E-33,0,
hr.ucsf.edu/hr.php?N=HR+Insider&org=hr,4.58E-34,0,
www.mskcc.org/departments/surgery/faculty,1.60E-34,1,
www.ucsfhealth.org/find_a_doctor,5.47E-35,1,
www.ucsfbenioffchildrens.org/find_a_doctor,6.10E-36,1,
www.hopkinsmedicine.org/sibley-memorial-hospital/profiles,2.14E-37,1,
dentistry.ucsf.edu/students-faculty-staff/faculty/faculty-development,6.06E-38,0,
www.thepcpi.org,6.06E-38,0,
www.hopkinsmedicine.org/profiles,8.24E-39,0,
www.mskcc.org/departments/division-survivorship-and-supportive-care/faculty,1.53E-39,1,
www.healthit.gov/providers-professionals/how-attain-meaningful-use,4.30E-40,0,
www.childrenshospitaloakland.org/main/site-map.aspx,2.29E-40,1,
www.childrenshospitaloakland.org/main/find-a-doctor.aspx,2.25E-40,0,
www.hopkinsmedicine.org/patient_care/hospital_locations.html,1.47E-40,0,
dentistry.ucsf.edu/ogra,3.14E-41,1,
www.mskcc.org/departments/medical-physics/faculty,8.18E-42,1,
www.countway.harvard.edu/about/contact-information,1.22E-43,1,
ita.ucsf.edu/about/staff,2.82E-44,1,
www.library.ucsf.edu/about/staff,1.37E-45,1,
www.ucsfhealth.org/directory/A.html,2.10E-48,1,
www.ucsfdentalcenter.org/provider-directory,3.76E-49,1,
hr.ucsf.edu/hr.php?N=HR+Update&org=hr,3.76E-49,0,
www.dana-farber.org/Sitemap.aspx,6.92E-50,1,
newsnetwork.mayoclinic.org/blogtag/dr-andre-terzic,1.05E-50,0,
mayoclinic.pure.elsevier.com/en/persons/liewei-m-wang,1.05E-50,0,
www.dana-farber.org/contact-us.aspx,1.87E-51,0,
diversity.ucsf.edu/community/faculty,1.63E-51,0,
newsnetwork.mayoclinic.org/blogtag/dr-amit-sood,1.42E-51,0,
newsnetwork.mayoclinic.org/blogtag/dr-bobbi-pritt,5.88E-52,0,
www.fas.harvard.edu,2.39E-52,0,
www.ucsfhealth.org/education,3.34E-53,0,
www.mayo-clinic-jobs.com/viewalljobs/500,5.41E-55,0,
newsnetwork.mayoclinic.org/blogtag/dr-gianrico-farrugia,6.24E-56,0,
www.sloankettering.edu/gerstner/faculty-research/faculty,6.71E-57,1,
www.mayo-clinic-jobs.com/go/Mayo-Clinic-Health-System-Advanced-Practitioner-or-Provider-Jobs/351272,6.71E-57,0,
www.mskcc.org/departments/pediatrics/faculty,6.69E-58,1,
mayoclinic.pure.elsevier.com/en/persons/panagiotis-z-anastasiadis,6.69E-58,0,
mayoclinic.pure.elsevier.com/en/persons/neena-susan-abraham,6.69E-58,0,
www.mskcc.org/departments/radiation-oncology/faculty,6.69E-58,1,
www.mayoclinic.org/appointments/find-a-doctor,6.98E-59,0,
www.mayo.edu/research/labs?sortby=faculty,6.16E-59,1,
mayoclinic.pure.elsevier.com/en/persons/shreyasee-amin,6.16E-59,0,
mayoclinic.pure.elsevier.com/en/persons/jennifer-j-westendorf,5.19E-60,0,
www.mskcc.org/departments/neurology/faculty,5.19E-60,1,
www.hopkinsmedicine.org/Research/profiles/index.html,5.19E-60,1,
www.mayoclinic.org/es-es,2.58E-60,0,
mayoclinic.pure.elsevier.com/en/persons/alexej-abyzov,3.99E-61,0,
newsnetwork.mayoclinic.org/discussion/mayo-clinic-reports-strong-performance-in-2015-extends-hope-and-healing-to-millions,1.73E-63,0,
www.hopkinsmedicine.org/som/faculty/index.html,1.73E-63,1,
mayoclinic.pure.elsevier.com/en/persons/bruce-f-horazdovsky,1.73E-63,0,
mayoclinic.pure.elsevier.com/en/persons/peter-c-amadio,1.73E-63,2,
nursing.ucsf.edu/faculty-research/faculty,1.73E-63,1,
mayoclinic.pure.elsevier.com/en/persons/gary-c-sieck,1.73E-63,2,
mayoclinic.pure.elsevier.com/en/persons/azra-alizad,1.73E-63,2,
mayoclinic.pure.elsevier.com/en/persons/michael-john-ackerman,9.55E-65,2,
hr.ucsf.edu/hr.php?AT=cm&S=Faculty+and+Staff+Assistance&org=c,9.55E-65,0,
mayoclinic.pure.elsevier.com/en/persons/steven-c-ames,9.55E-65,2,
www.dana-farber.org/Research/Featured-Research/Profile-Somatic-Genotyping-Study.aspx,4.65E-66,0,
www.gsd.harvard.edu,1.97E-67,0,
mn.gov/dhs/people-we-serve/children-and-families/health-care/health-care-programs/programs-and-services/medical-assistance.jsp,1.97E-67,0,
